iter	Passed	Remaining
1242	5459	60419
1243	5463	60415
1244	5468	60419
1245	5472	60410
1246	5476	60402
1247	5481	60405
1248	5486	60401
1249	5490	60392
1250	5494	60383
1251	5498	60383
1252	5503	60375
1253	5507	60366
1254	5510	60356
1255	5516	60363
1256	5520	60353
1257	5524	60344
1258	5528	60335
1259	5533	60344
1260	5537	60336
1261	5541	60325
1262	5545	60316
1263	5551	60325
1264	5555	60315
1265	5558	60305
1266	5564	60312
1267	5568	60305
1268	5572	60296
1269	5576	60286
1270	5581	60291
1271	5585	60283
1272	5589	60275
1273	5593	60265
1274	5600	60286
1275	5604	60277
1276	5608	60267
1277	5613	60267
1278	5618	60270
1279	5621	60260
1280	5625	60251
1281	5630	60251
1282	5634	60242
1283	5638	60233
1284	5642	60223
1285	5648	60239
1286	5652	60229
1287	5656	60218
1288	5660	60213
1289	5666	60219
1290	5670	60214
1291	5674	60204
1292	5679	60211
1293	5684	60208
1294	5688	60199
1295	5692	60189
1296	5699	60217
1297	5708	60263
1298	5713	60262
1299	5717	60253
1300	5721	60244
1301	5725	60234
1302	5731	60248
1303	5735	60239
1304	5739	60230
1305	5744	60233
1306	5749	60234
1307	5753	60225
1308	5757	60215
1309	5763	60226
1310	5767	60217
1311	5770	60207
1312	5774	60197
1313	5780	60204
1314	5784	60195
1315	5788	60185
1316	5793	60187
1317	5797	60182
1318	5801	60173
1319	5805	60163
1320	5810	60165
1321	5814	60163
1322	5818	60155
1323	5822	60145
1324	5829	60162
1325	5833	60154
1326	5837	60144
1327	5841	60140
1328	5846	60137
1329	5850	60129
1330	5854	60119
1331	5859	60125
1332	5864	60122
1333	5867	60112
1334	5871	60103
1335	5878	60119
1336	5882	60111
1337	5886	60100
1338	5889	60091
1339	5897	60118
1340	5901	60109
1341	5905	60100
1342	5911	60111
1343	5915	60102
1344	5918	60091
1345	5922	60082
1346	5928	60094
1347	5932	60086
1348	5937	60078
1349	5942	60089
1350	5946	60080
1351	5950	60071
1352	5954	60062
1353	5961	60083
1354	5965	60074
1355	5969	60065
1356	5974	60066
1357	5979	60064
1358	5983	60054
1359	5986	60045
1360	5992	60052
1361	5996	60045
1362	6000	60036
1363	6004	60027
1364	6010	60037
1365	6014	60029
1366	6018	60019
1367	6022	60018
1368	6027	60014
1369	6031	60010
1370	6035	60000
1371	6042	60016
1372	6046	60007
1373	6049	59997
1374	6053	59987
1375	6060	60002
1376	6064	59997
1377	6068	59987
1378	6074	59997
1379	6078	59993
1380	6082	59984
1381	6086	59974
1382	6095	60012
1383	6099	60006
1384	6103	59998
1385	6110	60017
1386	6114	60008
1387	6117	59998
1388	6125	60019
1389	6129	60011
1390	6132	60001
1391	6136	59992
1392	6141	59993
1393	6145	59984
1394	6149	59974
1395	6153	59964
1396	6158	59964
1397	6162	59955
1398	6165	59945
1399	6169	59935
1400	6175	59941
1401	6179	59933
1402	6183	59922
1403	6188	59924
1404	6193	59928
1405	6197	59919
1406	6201	59910
1407	6208	59929
1408	6212	59921
1409	6216	59911
1410	6221	59914
1411	6225	59911
1412	6229	59902
1413	6233	59892
1414	6239	59898
1415	6242	59889
1416	6246	59879
1417	6250	59870
1418	6257	59885
1419	6261	59876
1420	6264	59867
1421	6270	59876
1422	6275	59871
1423	6279	59862
1424	6282	59853
1425	6287	59846
1426	6291	59845
1427	6295	59835
1428	6299	59826
1429	6305	59840
1430	6310	59832
1431	6313	59823
1432	6317	59814
1433	6323	59823
1434	6327	59814
1435	6331	59805
1436	6336	59810
1437	6341	59809
1438	6345	59801
1439	6349	59792
1440	6354	59795
1441	6358	59787
1442	6362	59777
1443	6367	59773
1444	6371	59773
1445	6376	59765
1446	6379	59756
1447	6384	59749
1448	6389	59756
1449	6393	59749
1450	6397	59740
1451	6402	59741
1452	6407	59737
1453	6411	59734
1454	6415	59724
1455	6422	59740
1456	6426	59731
1457	6430	59722
1458	6434	59717
